service_id,date,exception_type
aaVIC1709-1709SUNR-Sunday-07,20170904,1
aaVIC1709-1709WK-Weekday-38,20171009,2
aaVIC1709-1709WK-Weekday-38-0000100,20171009,2
aaVIC1709-1709WK-Weekday-38-1111000,20171009,2
aaVIC1709-1709WK-Weekday-38-1101000,20171009,2
aaVIC1709-1709WK-Weekday-38-0010100,20171009,2
aaVIC1709-1709WK-Weekday-38,20171113,2
aaVIC1709-1709WK-Weekday-38-0000100,20171113,2
aaVIC1709-1709WK-Weekday-38-1111000,20171113,2
aaVIC1709-1709WK-Weekday-38-1101000,20171113,2
aaVIC1709-1709WK-Weekday-38-0010100,20171113,2
aaVIC1709-1709SA-Saturday-16,20171111,2
aaVIC1709-THANDY17-Sunday-27,20171009,1
aaVIC1709-1709SA-Saturday-19,20171113,1
