service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2023JU-STMPWeek-Weekday-02,1,1,1,1,1,0,0,20230711,20230714
2023JU-STMPWeek-Weekday-02-0010000,0,0,1,0,0,0,0,20230711,20230714
2023JU-STMPWeek-Weekday-02-1101100,1,1,0,1,1,0,0,20230711,20230714
2023JU-STMPSat-Saturday-02,0,0,0,0,0,1,0,20230715,20230715
2023JU-STMPSu2-Sunday-02,0,0,0,0,0,0,1,20230716,20230716
2023JU-1BUSWK-Weekday-02,1,1,1,1,1,0,0,20230717,20230901
2023JU-1BUSSA-Saturday-02,0,0,0,0,0,1,0,20230722,20230902
2023JU-1BUSSU-Sunday-02,0,0,0,0,0,0,1,20230723,20230903
2023JU-LRTstWK-Weekday-01,1,1,1,1,1,0,0,20230711,20230714
2023JU-LRTstSAT-Saturday-06,0,0,0,0,0,1,0,20230715,20230715
2023JU-LRTstSU2-Sunday-01,0,0,0,0,0,0,1,20230716,20230716
2023JU-LRTastWK-Weekday-01,1,1,1,1,1,0,0,20230717,20230717
2023JU-1LRTWK-Weekday-01,1,1,1,1,1,0,0,20230718,20230901
2023JU-pT6Jul22-Saturday-01,0,0,0,0,0,1,0,20230722,20230722
2023JU-pT7Jul23-Sunday-01,0,0,0,0,0,0,1,20230723,20230723
2023JU-1LRTSA-Saturday-00,0,0,0,0,0,1,0,20230729,20230902
2023JU-1LRTSU-Sunday-00,0,0,0,0,0,0,1,20230730,20230903
