route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
36-20713,2023JU-1BUSSA-Saturday-02,63423267,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423268,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423269,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423270,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423271,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423272,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423273,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423274,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423275,"RIVERBEND",0,6424897,360037
36-20713,2023JU-1BUSSA-Saturday-02,63423276,"RIVERBEND",0,6424897,360037
41-20713,2023JU-1BUSSA-Saturday-02,63423277,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423278,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423279,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423280,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423281,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423282,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423283,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423284,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423285,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423286,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423287,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423288,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423289,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423290,"ROUTE 41",0,6424895,410053
41-20713,2023JU-1BUSSA-Saturday-02,63423291,"ROUTE 41",0,6424895,410053
28-20713,2023JU-1BUSSA-Saturday-02,63423292,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423293,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423294,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423295,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423296,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423297,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423298,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423299,"DEER RUN",0,6424950,280015
28-20713,2023JU-1BUSSA-Saturday-02,63423300,"DEER RUN",0,6424950,280015
83-20713,2023JU-1BUSSA-Saturday-02,63423301,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423302,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423303,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423304,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423305,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423306,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423307,"PARKLAND",0,6424950,830014
83-20713,2023JU-1BUSSA-Saturday-02,63423308,"PARKLAND",0,6424950,830014
4-20713,2023JU-1BUSSA-Saturday-02,63423309,"HUNTINGTON",0,6424898,40066
